Kod;Nazwa;Wyszczególnienie;Typy szkół;Rok;Wartosc;Jednostka miary;Atrybut
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2002;3050;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2003;3598;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2004;3995;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2005;4412;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2006;5614;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2007;6604;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2008;7523;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2009;7713;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2010;7871;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2011;7966;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;szkoły zawodowe bez policealnych;2012;8789;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2002;305;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2003;479;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2004;353;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2005;353;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2006;375;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2007;620;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2008;807;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2009;719;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2010;761;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2011;909;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;zasadnicze szkoły zawodowe;2012;1069;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2002;2099;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2003;2370;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2004;2808;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2005;3285;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2006;4392;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2007;4929;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2008;5761;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2009;6300;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2010;6580;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2011;6646;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;technika;2012;7217;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2002;646;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2003;749;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2004;834;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2005;774;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2006;847;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2007;1055;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2008;955;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2009;694;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2010;530;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2011;411;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea profilowane;2012;503;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2002;-;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2003;-;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2004;-;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2005;-;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2006;4949;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2007;5421;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2008;6334;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2009;6266;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2010;6163;szt.; 
1100000000;ŁÓDZKIE;komputery w szkole;licea ogólnokształcące;2011;6419;szt.; 
